Noise,Compression,Duration,Top1
0,zip,10,0.533
0,gzip,10,0.8
0,bzip2,10,1.0
0,lzma,10,1.0
0,zstd,10,1.0
0,zip,20,0.767
0,gzip,20,0.867
0,bzip2,20,1.0
0,lzma,20,1.0
0,zstd,20,1.0
0,zip,40,0.867
0,gzip,40,0.933
0,bzip2,40,1.0
0,lzma,40,1.0
0,zstd,40,1.0
0.02,zip,10,0.6
0.02,gzip,10,0.833
0.02,bzip2,10,1.0
0.02,lzma,10,1.0
0.02,zstd,10,1.0
0.02,zip,20,0.767
0.02,gzip,20,0.9
0.02,bzip2,20,1.0
0.02,lzma,20,1.0
0.02,zstd,20,1.0
0.02,zip,40,0.9
0.02,gzip,40,0.967
0.02,bzip2,40,1.0
0.02,lzma,40,1.0
0.02,zstd,40,1.0
0.04,zip,10,0.6
0.04,gzip,10,0.833
0.04,bzip2,10,1.0
0.04,lzma,10,1.0
0.04,zstd,10,1.0
0.04,zip,20,0.767
0.04,gzip,20,0.9
0.04,bzip2,20,1.0
0.04,lzma,20,1.0
0.04,zstd,20,1.0
0.04,zip,40,0.9
0.04,gzip,40,0.967
0.04,bzip2,40,1.0
0.04,lzma,40,1.0
0.04,zstd,40,1.0
0.08,zip,10,0.633
0.08,gzip,10,0.833
0.08,bzip2,10,1.0
0.08,lzma,10,1.0
0.08,zstd,10,1.0
0.08,zip,20,0.767
0.08,gzip,20,0.933
0.08,bzip2,20,1.0
0.08,lzma,20,1.0
0.08,zstd,20,1.0
0.08,zip,40,0.9
0.08,gzip,40,0.967
0.08,bzip2,40,1.0
0.08,lzma,40,1.0
0.08,zstd,40,1.0
0.16,zip,10,0.667
0.16,gzip,10,0.833
0.16,bzip2,10,1.0
0.16,lzma,10,1.0
0.16,zstd,10,1.0
0.16,zip,20,0.767
0.16,gzip,20,0.9
0.16,bzip2,20,1.0
0.16,lzma,20,1.0
0.16,zstd,20,1.0
0.16,zip,40,0.933
0.16,gzip,40,0.967
0.16,bzip2,40,1.0
0.16,lzma,40,1.0
0.16,zstd,40,1.0
0.32,zip,10,0.533
0.32,gzip,10,0.8
0.32,bzip2,10,1.0
0.32,lzma,10,1.0
0.32,zstd,10,1.0
0.32,zip,20,0.767
0.32,gzip,20,0.9
0.32,bzip2,20,1.0
0.32,lzma,20,1.0
0.32,zstd,20,1.0
0.32,zip,40,0.9
0.32,gzip,40,0.967
0.32,bzip2,40,1.0
0.32,lzma,40,1.0
0.32,zstd,40,1.0
0.64,zip,10,0.533
0.64,gzip,10,0.8
0.64,bzip2,10,1.0
0.64,lzma,10,1.0
0.64,zstd,10,0.967
0.64,zip,20,0.767
0.64,gzip,20,0.9
0.64,bzip2,20,1.0
0.64,lzma,20,1.0
0.64,zstd,20,1.0
0.64,zip,40,0.867
0.64,gzip,40,0.967
0.64,bzip2,40,1.0
0.64,lzma,40,1.0
0.64,zstd,40,1.0
